word|styled-context|chapter|location
culebras|"ateria no es vil y grosera!

Aquel día había recibido antes de comer un billete perfumado de su amiguita Obdulia Fandiño, viuda de Pomares. ¡Qué emoción! No quiso abrir el misterioso pliego hasta después de tomar la sopa. ¿Por qué no soñar?

¿Qué era aquello? O. F. decían dos letras enroscadas como <span style=""color: rgb(0, 0, 255);"">culebras</span> en el lema del sobre.—De parte de doña Obdulia, había dicho el criado. Aquella señora, todo Vetusta lo sabía, era una mujer despreocupada, tal vez demasiado; era una original.... Entonces... acaso... ¿por qué no?... una cita.... Ellos, al fin, se entendían algo, no tanto como algunos malici"|I|Location 651
despreocupada,|"mares. ¡Qué emoción! No quiso abrir el misterioso pliego hasta después de tomar la sopa. ¿Por qué no soñar?

¿Qué era aquello? O. F. decían dos letras enroscadas como culebras en el lema del sobre.—De parte de doña Obdulia, había dicho el criado. Aquella señora, todo Vetusta lo sabía, era una mujer <span style=""color: rgb(0, 0, 255);"">despreocupada,</span> tal vez demasiado; era una original.... Entonces... acaso... ¿por qué no?... una cita.... Ellos, al fin, se entendían algo, no tanto como algunos maliciaban, pero se entendían.... Ella le miraba en la iglesia y suspiraba. Le había dicho una vez que sabía más que el Tostado, elogio que"|I|Location 652
se puso colorado|"cerme el obsequio de venir a esta su casa a las tres de la tarde? Le espero con...». Hubo que dar vuelta a la hoja.

—Impaciencia—pensó el sabio. Pero decía: «...Le espero con unos amigos de Palomares que quieren visitar la catedral acompañados de una persona inteligente... etc., etc.». Don Saturno <span style=""color: rgb(0, 0, 255);"">se puso colorado</span> como si estuviera en ridículo delante de una asamblea.

—No importa—se dijo—esta visita a la catedral es un pretexto.

Y añadió:—¡Bien sabe Dios que siento la profanación a que se me invita!

Se vistió lo más correctamente que supo, y después de verse en el espejo como un Lovelace q"|I|Location 663
fulminó|"ostura incómoda en que el sabio le había tenido un cuarto de hora. Por fin el del jipijapa exclamó:

—Me parece, señor Bermúdez, que ese famosísimo cuadro del ilustre....

—Cenceño.—Pues; del ilustrísimo Cenceño; luciría más si....

—Si se pudiera ver—interrumpió la esposa del señor Infanzón.

Este <span style=""color: rgb(0, 0, 255);"">fulminó</span> terrible mirada de reprensión conyugal y rectificó diciendo:

—Luciría más... si no estuviera un poquito ahumado.... Tal vez la cera... el incienso....

—No señor; ¡qué ahumado!—respondió el sabio, sonriendo de oreja a oreja—. Eso que usted cree obra del humo es la pátina; precisamente el en"|I|Location 681
pátina;|"del señor Infanzón.

Este fulminó terrible mirada de reprensión conyugal y rectificó diciendo:

—Luciría más... si no estuviera un poquito ahumado.... Tal vez la cera... el incienso....

—No señor; ¡qué ahumado!—respondió el sabio, sonriendo de oreja a oreja—. Eso que usted cree obra del humo es la <span style=""color: rgb(0, 0, 255);"">pátina;</span> precisamente el encanto de los cuadros antiguos.

—¡La pátina!—exclamó el del pueblo convencido—. Sí, es lo más probable. Y se juró, en llegando a Palomares, mirar el diccionario para saber qué era pátina.

En aquel momento el Magistral se acercaba a saludar a don Saturno; reconoció a Obduli"|I|Location 684
arrimaron|"stral. La señora del lugareño manifestó deseos de besar la mano del Provisor, pero la mirada del marido la contuvo otra vez, y no hizo más que doblar las rodillas como si fuera a caerse. El Magistral hablaba en voz alta de modo que sus palabras resonaban en las bóvedas y los demás con el ejemplo se <span style=""color: rgb(0, 0, 255);"">arrimaron</span> también a gritar. Pronto las carcajadas de Obdulia Fandiño, frescas, perladas, como las llamaba don Saturno, llenaron el ambiente, profanado ya con el olor mundano de que había infestado la sacristía desde el momento de entrar. Era el olor del billete, el olor del pañuelo, el olor de Obdul"|I|Location 692
carcajadas|" deseos de besar la mano del Provisor, pero la mirada del marido la contuvo otra vez, y no hizo más que doblar las rodillas como si fuera a caerse. El Magistral hablaba en voz alta de modo que sus palabras resonaban en las bóvedas y los demás con el ejemplo se arrimaron también a gritar. Pronto las <span style=""color: rgb(0, 0, 255);"">carcajadas</span> de Obdulia Fandiño, frescas, perladas, como las llamaba don Saturno, llenaron el ambiente, profanado ya con el olor mundano de que había infestado la sacristía desde el momento de entrar. Era el olor del billete, el olor del pañuelo, el olor de Obdulia con que el sabio soñaba algunas vece"|I|Location 692
El Magistral le iba a la mano|" en tono confidencial, como podía referírselas en su tocador a alguna amiga de su estofa. Citaba mucho a su amigo el Patriarca y al campechano obispo de Nauplia; proponía rifas católicas, organizaba bailes de caridad, novenas y jubileos a puerta cerrada, para las personas decentes... ¡mil absurdos! <span style=""color: rgb(0, 0, 255);"">El Magistral le iba a la mano</span> siempre que podía, pero no podía siempre. Su autoridad, que era absoluta casi, no conseguía sujetar aquel azogue que se le marchaba por las junturas de los dedos. La doña Obdulita le fatigaba, le mareaba. ¡Y ella que quería seducirle, hacerle suyo como al obispo de Naup"|I|Location 709
Era menester que|"; los adoradores de la viuda lo sabían y le envidiaban. Pero él maldecía de aquel bloqueo.

—«Necia, ¿si creerá que a mí se me conquista como a don Saturno?».

A pesar de esta cordial antipatía, siempre estaba afable y cortés con la viuda, porque en este punto no distinguía entre amigos y enemigos. <span style=""color: rgb(0, 0, 255);"">Era menester que</span> una persona estuviese debajo de sus pies, aplastada, para que don Fermín no usase con ella de formas irreprochables. La urbanidad era un dogma para el Magistral lo mismo que para Bermúdez, pero sacaban de ella muy diferente partido.

Mientras se hablaba de lo mucho bueno que había e"|I|Location 716
flamantes|"uerta había algunos cuadros nuevos que eran copias no mal entendidas de pintores célebres. A la Infanzón debieron de agradarle más que las maravillas de Cenceño, sin duda porque se veían mejor. Pero su prudente esposo, considerando que Bermúdez pasaba con afectado desdén delante de aquellos vivos y <span style=""color: rgb(0, 0, 255);"">flamantes</span> colores, dio un codazo a su mujer para que entendiera que por allí se pasaba sin hacer aspavientos. Entre aquellos cuadros había una copia bastante fiel y muy discretamente comprendida del célebre cuadro de Murillo San Juan de Dios, del Hospital de incurables de Sevilla. A la señora de pue"|I|Location 734
hacer aspavientos.|"A la Infanzón debieron de agradarle más que las maravillas de Cenceño, sin duda porque se veían mejor. Pero su prudente esposo, considerando que Bermúdez pasaba con afectado desdén delante de aquellos vivos y flamantes colores, dio un codazo a su mujer para que entendiera que por allí se pasaba sin <span style=""color: rgb(0, 0, 255);"">hacer aspavientos.</span> Entre aquellos cuadros había una copia bastante fiel y muy discretamente comprendida del célebre cuadro de Murillo San Juan de Dios, del Hospital de incurables de Sevilla. A la señora de pueblo le llamó la atención la cabeza del santo, que desde que se ve una vez no se olvida.

—¡"|I|Location 734
pellizco|"que se ve una vez no se olvida.

—¡Oh, qué hermoso!—exclamó sin poder contenerse.

Miró don Saturno con sonrisa de lástima y dijo:

—Sí, es bonito; pero muy conocido.

Y volvió la espalda a San Juan, que llevaba sobre sus hombros al pordiosero enfermo, entre las tinieblas.

El señor Infanzón dio un <span style=""color: rgb(0, 0, 255);"">pellizco</span> a su mujer; se puso muy colorado y en voz baja la reprendió de esta suerte:

—Siempre has de avergonzarme. ¿No ves que eso no tiene... pátina?

Salieron de la sacristía.—Por aquí—dijo Bermúdez señalando a la derecha; y atravesaron el crucero no sin escándalo de algunas beatas que interrumpi"|I|Location 741
calzón|"ue interrumpieron sus oraciones para descoser y recortar la coraza de fuego de Obdulia. La falda de raso, que no tenía nada de particular mientras no la movían, era lo más subversivo del traje en cuanto la viuda echaba a andar. Ajustábase de tal modo al cuerpo, que lo que era falda parecía apretado <span style=""color: rgb(0, 0, 255);"">calzón</span> ciñendo esculturales formas, que así mostradas, no convenían a la santidad del lugar.

—Señores, vamos a ver el Panteón de los Reyes—murmuró muy quedo el arqueólogo, que iba ya preparando sendos trocitos de su Vetusta Goda y de su Vetusta Cristiana. Y en honor de la verdad se ha de decir que "|I|Location 746
estrépito|"oraba, como si a una hoguera la echasen petróleo....

Entraron en la capilla del Panteón. Era ancha, obscura, fría, de tosca fábrica, pero de majestuosa e imponente sencillez. El taconeo irrespetuoso de las botas imperiales, color bronce, que enseñaba Obdulia debajo de la falda corta y ajustada; el <span style=""color: rgb(0, 0, 255);"">estrépito</span> de la seda frotando las enaguas; el crujir del almidón de aquellos bajos de nieve y espuma que tal se le antojaban a don Saturno, quien los había visto otras veces; hubieran sido parte a despertar de su sueño de siglos a los reyes allí sepultados, a ser cierto lo que el arqueólogo dijo res"|I|Location 754
enaguas;|"hasen petróleo....

Entraron en la capilla del Panteón. Era ancha, obscura, fría, de tosca fábrica, pero de majestuosa e imponente sencillez. El taconeo irrespetuoso de las botas imperiales, color bronce, que enseñaba Obdulia debajo de la falda corta y ajustada; el estrépito de la seda frotando las <span style=""color: rgb(0, 0, 255);"">enaguas;</span> el crujir del almidón de aquellos bajos de nieve y espuma que tal se le antojaban a don Saturno, quien los había visto otras veces; hubieran sido parte a despertar de su sueño de siglos a los reyes allí sepultados, a ser cierto lo que el arqueólogo dijo respecto del descanso eterno de tan r"|I|Location 755
disimulaba|"a cera y del incienso le sabía a gloria al anticuario, cuyo ideal era juntar así los olores místicos y los eróticos, mediante una armonía o componenda, que creía él debía de ser en otro mundo mejor la recompensa de los que en la tierra habían sabido resistir toda clase de tentaciones.

Obdulia, que <span style=""color: rgb(0, 0, 255);"">disimulaba</span> mal su aburrimiento mientras se hablaba de cuadros, ojivas, arcos peraltados, dovelas y otras tonterías que no había entendido nunca, se animó con la presencia del Magistral de quien era hija de confesión, por más que él había procurado varias veces entregarla a don Custodio, hambriento d"|II|Location 786
asperezas,|"as de que se despojaban para recobrar el manteo. Se notaba en el cabildo de Vetusta lo que es ordinario en muchas corporaciones: algunos señores prebendados no se hablaban; otros no se saludaban siquiera. Pero a un extraño no le era fácil conocer esta falta de armonía: la prudencia disimulaba tales <span style=""color: rgb(0, 0, 255);"">asperezas,</span> y en conjunto reinaba la mayor y más jovial concordia. Había apretones de mano, golpecitos en el hombro, bromitas sempiternas, chistes, risas, secretos al oído. Algunos, taciturnos, se despedían pronto y abandonaban el templo; no faltaba quien saliera sin despedirse.

Cuando entraba el Ma"|II|Location 786
arrugado|"ió:

—¿Parece que hemos tenido faldas por aquí, señor De Pas?

Y sin esperar respuesta hizo picarescas alusiones corteses, pero un poco verdes, a la hermosura esplendorosa de la viudita.

Era don Cayetano un viejecillo de setenta y seis años, vivaracho, alegre, flaco, seco, de color de cuero viejo, <span style=""color: rgb(0, 0, 255);"">arrugado</span> como un pergamino al fuego, y el conjunto de su personilla recordaba, sin que se supiera a punto fijo por qué, la silueta de un buitre de tamaño natural; aunque, según otros, más se parecía a una urraca, o a un tordo encogido y despeluznado. Tenía sin duda mucho de pájaro en figura y gestos"|II|Location 796
arcipreste,|" derecha y formaba un anteojo con el dedo pulgar y el índice. Como el interlocutor solía ser más alto, para verle la cara Ripamilán torcía la cabeza y miraba con un ojo solo, como también hacen las aves de corral con frecuencia. Aunque era don Cayetano canónigo y tenía nada menos que la dignidad de <span style=""color: rgb(0, 0, 255);"">arcipreste,</span> que le valía el honor de sentarse en el coro a la derecha del Obispo, considerábase él digno de respeto y aun de admiración no por estos vulgares títulos, ni por la cruz que le hacía ilustrísimo, sino por el don inapreciable de poeta bucólico y epigramático. Sus dioses eran Garcilaso y M"|II|Location 804
mundanas:|"ho a Meléndez Valdés y no poco a Inarco Celenio. Había venido a Vetusta de beneficiado a los cuarenta años; treinta y seis había asistido al coro de aquella iglesia y podía tenerse por tan vetustense como el primero. Muchos no sabían que era de otra provincia. Además de la poesía tenía dos pasiones <span style=""color: rgb(0, 0, 255);"">mundanas:</span> la mujer y la escopeta. A la última había renunciado; no a la primera, que seguía adorando con el mismo pudibundo y candoroso culto de los treinta años. Ni un solo vetustense, aun contando a los librepensadores que en cierto restaurant comían de carne el Viernes Santo, ni uno solo se hubie"|II|Location 808
castidad|"copeta. A la última había renunciado; no a la primera, que seguía adorando con el mismo pudibundo y candoroso culto de los treinta años. Ni un solo vetustense, aun contando a los librepensadores que en cierto restaurant comían de carne el Viernes Santo, ni uno solo se hubiera atrevido a dudar de la <span style=""color: rgb(0, 0, 255);"">castidad</span> casi secular de don Cayetano. No era eso. Su culto a la dama no tenía que ver nada con las exigencias del sexo. La mujer era el sujeto poético, como él decía, pues se preciaba de hablar como los poetas de mejores siglos y al asunto solía llamarlo sujeto. Sentía desde su juventud, imperiosa "|II|Location 811
estragos.|"as inocentadas, bienquisto de todos, menos de conejos y perdices en los montes. Pero ¡cuán lejanos estaban aquellos tiempos! ¿Quién se acordaba ya de Meléndez Valdés, ni de las Églogas y Canciones por un Pastor de Bílbilis, o sea don Cayetano Ripamilán? El romanticismo y el liberalismo habían hecho <span style=""color: rgb(0, 0, 255);"">estragos.</span> Y había pasado el romanticismo, pero el género pastoril no había vuelto, ni los epigramas causaban efecto por maliciosos que fueran. No era don Cayetano uno de tantos canónigos laudatores temporis acti, como decía él; no alababa el tiempo pasado por sistema, pero en punto a poesía era prec"|II|Location 820
tresillo|" su pluma no alcanzaba en los tiempos de prosa a que habíamos llegado.

Esto de los bailes solía acontecer en las tertulias a donde el setentón acudía sin falta, porque desde que los médicos le habían prohibido escribir y hasta leer de noche, no podía pasar sin la sociedad más animada y galante. El <span style=""color: rgb(0, 0, 255);"">tresillo</span> le aburría y los conciliábulos de canónigos y obispos de levita, como él decía siempre, le ponían triste. «No era liberal ni carlista. Era un sacerdote». La juventud le atraía y prefería su trato al de los más sesudos vetustenses. Los poetillas y gacetilleros de la localidad tenían en él un"|II|Location 835
conciliábulos|"los tiempos de prosa a que habíamos llegado.

Esto de los bailes solía acontecer en las tertulias a donde el setentón acudía sin falta, porque desde que los médicos le habían prohibido escribir y hasta leer de noche, no podía pasar sin la sociedad más animada y galante. El tresillo le aburría y los <span style=""color: rgb(0, 0, 255);"">conciliábulos</span> de canónigos y obispos de levita, como él decía siempre, le ponían triste. «No era liberal ni carlista. Era un sacerdote». La juventud le atraía y prefería su trato al de los más sesudos vetustenses. Los poetillas y gacetilleros de la localidad tenían en él un censor socarrón y malicio"|II|Location 835
alientos|"ista. Era un sacerdote». La juventud le atraía y prefería su trato al de los más sesudos vetustenses. Los poetillas y gacetilleros de la localidad tenían en él un censor socarrón y malicioso, aunque siempre cortés y afable. Encontrábase en la calle, por ejemplo, con Trifón Cármenes, el poeta de más <span style=""color: rgb(0, 0, 255);"">alientos</span> de Vetusta, el eterno vencedor en las justas incruentas, de la gaya ciencia; le llamaba con un dedo, acercaba su corva nariz a la ancha oreja del vate y decíale:

—He visto aquello.... No está mal; pero no hay que olvidar lo de versate manu. ¡Los clásicos, Trifoncillo, los clásicos sobre to"|II|Location 838
suelta la sin hueso|"lvía de esa falta de formalidad al Arcipreste a condición de que se le tuviera por chocho.

—Y aun así y todo—decía un canónigo muy buen mozo, nuevo en Vetusta y en el oficio, pariente del ministro de Gracia y Justicia—aun así y todo no se puede llevar en calma la imprudencia con que habla de todo; <span style=""color: rgb(0, 0, 255);"">suelta la sin hueso</span> y juzga precipitadamente, y emplea vocablos y alusiones impropias de una dignidad.

A este mismo señor canónigo que embozadamente le había reprendido algunas veces por la pimienta de sus epigramas, solía taparle la boca el Arcipreste diciendo:

—Nada, nada, repito lo que mi paisa"|II|Location 847
verdores|" veces por la pimienta de sus epigramas, solía taparle la boca el Arcipreste diciendo:

—Nada, nada, repito lo que mi paisano y queridísimo poeta Marcial dejó escrito para casos tales, es a saber:

Lasciva est nobis pagina, vita proba est.
Con lo cual daba a entender, y era verdad, que él tenía los <span style=""color: rgb(0, 0, 255);"">verdores</span> en la lengua, y otros, no menos canónigos que él, en otra parte. Y no era de estos días el ser don Cayetano muy honesto en el orden aludido, sino que toda la vida había sido un boquirroto en tal materia, pero nada más que un boquirroto. Y esta era la traducción libre del verso de Marcial.

"|II|Location 852
boquirroto|"s a saber:

Lasciva est nobis pagina, vita proba est.
Con lo cual daba a entender, y era verdad, que él tenía los verdores en la lengua, y otros, no menos canónigos que él, en otra parte. Y no era de estos días el ser don Cayetano muy honesto en el orden aludido, sino que toda la vida había sido un <span style=""color: rgb(0, 0, 255);"">boquirroto</span> en tal materia, pero nada más que un boquirroto. Y esta era la traducción libre del verso de Marcial.

El Arcipreste estaba muy locuaz aquella tarde. La visita de Obdulia a la catedral había despertado sus instintos anafrodíticos, su pasión desinteresada por la mujer, diríase mejor, por l"|II|Location 853
instintos anafrodíticos,|" don Cayetano muy honesto en el orden aludido, sino que toda la vida había sido un boquirroto en tal materia, pero nada más que un boquirroto. Y esta era la traducción libre del verso de Marcial.

El Arcipreste estaba muy locuaz aquella tarde. La visita de Obdulia a la catedral había despertado sus <span style=""color: rgb(0, 0, 255);"">instintos anafrodíticos,</span> su pasión desinteresada por la mujer, diríase mejor, por la señora. Aquel olor a Obdulia, que ya nadie notaba, sentíalo aún don Cayetano.

El Magistral contestaba con sonrisas insignificantes. Pero no se marchaba. Algo tenía que decir al Arcipreste. No era De Pas de los que "|II|Location 855
graneado!|"epararse. Pero marchaba uno, y los demás le guardaban cierto respeto por algunos minutos. Cuando ya debía de estar en su casa el temerario, alguno de los que quedaban, decía de repente:

—Como ese otro.... Y todos sabían que aquel gesto de señalar a la puerta y tales palabras significaban:

—¡Fuego <span style=""color: rgb(0, 0, 255);"">graneado!</span> Y no le quedaba hueso sano a ese otro.

El Arcipreste no era de los que menos murmuraban.

Él le había puesto el apodo que llevaba sin saberlo, como una maza, al señor Arcediano don Restituto Mourelo. En el cabildo nadie le llamaba Mourelo, ni Arcediano, sino Glocester. Era un poco torcido"|II|Location 865
gallardía|"eñor Arcediano don Restituto Mourelo. En el cabildo nadie le llamaba Mourelo, ni Arcediano, sino Glocester. Era un poco torcido del hombro derecho don Restituto—por lo demás buen mozo, casi tan alto como el pariente del ministro—, y como este defecto incurable era un obstáculo a las pretensiones de <span style=""color: rgb(0, 0, 255);"">gallardía</span> que siempre había alimentado, discurrió hacer de tripas corazón, como se dice, o sea sacar partido, en calidad de gracia, de aquella tacha con que estaba señalado. En vez de disimularlo subrayaba el vicio corporal torciéndose más y más hacia la derecha, inclinándose como un sauce llorón. R"|II|Location 869
discurrió|" el cabildo nadie le llamaba Mourelo, ni Arcediano, sino Glocester. Era un poco torcido del hombro derecho don Restituto—por lo demás buen mozo, casi tan alto como el pariente del ministro—, y como este defecto incurable era un obstáculo a las pretensiones de gallardía que siempre había alimentado, <span style=""color: rgb(0, 0, 255);"">discurrió</span> hacer de tripas corazón, como se dice, o sea sacar partido, en calidad de gracia, de aquella tacha con que estaba señalado. En vez de disimularlo subrayaba el vicio corporal torciéndose más y más hacia la derecha, inclinándose como un sauce llorón. Resultaba de aquella extraña postura que "|II|Location 870
tacha|"cho don Restituto—por lo demás buen mozo, casi tan alto como el pariente del ministro—, y como este defecto incurable era un obstáculo a las pretensiones de gallardía que siempre había alimentado, discurrió hacer de tripas corazón, como se dice, o sea sacar partido, en calidad de gracia, de aquella <span style=""color: rgb(0, 0, 255);"">tacha</span> con que estaba señalado. En vez de disimularlo subrayaba el vicio corporal torciéndose más y más hacia la derecha, inclinándose como un sauce llorón. Resultaba de aquella extraña postura que parecía Mourelo un hombre en perpetuo acecho, adelantándose a los rumores, avanzada de sí mismo para sa"|II|Location 870
acecho,|"o se dice, o sea sacar partido, en calidad de gracia, de aquella tacha con que estaba señalado. En vez de disimularlo subrayaba el vicio corporal torciéndose más y más hacia la derecha, inclinándose como un sauce llorón. Resultaba de aquella extraña postura que parecía Mourelo un hombre en perpetuo <span style=""color: rgb(0, 0, 255);"">acecho,</span> adelantándose a los rumores, avanzada de sí mismo para saber noticias, cazar intenciones y hasta escuchar por los agujeros de las cerraduras. Encontraba el Arcediano, sin haber leído a Darwin, cierta misteriosa y acaso cabalística relación entre aquella manera de F que figuraba su cuerpo y l"|II|Location 872
carcajada|" deseos de besar la mano del Provisor, pero la mirada del marido la contuvo otra vez, y no hizo más que doblar las rodillas como si fuera a caerse. El Magistral hablaba en voz alta de modo que sus palabras resonaban en las bóvedas y los demás con el ejemplo se arrimaron también a gritar. Pronto las <span style=""color: rgb(0, 0, 255);"">carcajada</span>s de Obdulia Fandiño, frescas, perladas, como las llamaba don Saturno, llenaron el ambiente, profanado ya con el olor mundano de que había infestado la sacristía desde el momento de entrar. Era el olor del billete, el olor del pañuelo, el olor de Obdulia con que el sabio soñaba algunas vece"|II|Location 897
simonía|"; el Magistral un sabio, un literato, un orador, un hombre de gobierno, y lo que valía más que todo, en su concepto, un hombre de mundo. Cuando se le hablaba de los supuestos cohechos del Provisor, de su tiranía, de su comercio sórdido, se indignaba el anciano y negaba en redondo hasta los casos de <span style=""color: rgb(0, 0, 255);"">simonía</span> más probables. Si le traían a cuento el capítulo de las aventuras amorosas, que no pasaban de ser rumores anónimos, sin fundamento que hiciera prueba, el Arcipreste sonreía al negar, dando a entender que aquello era posible, pero importaba menos.

—La verdad es que don Fermín es muy buen moz"|II|Location 919
jaqueca?|"gistral sabía todo lo que Ripamilán pensaba de él y le consideraba el más fiel de sus parciales. Por eso le esperaba. Tenía que hacerle ciertas preguntas que, no tratándose del Arcipreste, podrían ser peligrosas. Glocester había olido algo.

—«¿Cómo no se marchaba el Magistral? ¿Cómo sufría aquella <span style=""color: rgb(0, 0, 255);"">jaqueca?</span> No, pues él tampoco dejaba el puesto». Era el de Mourelo el más cordial enemigo que tenía el Provisor. Precisamente el trabajo de maquiavelismo más refinado del Arcediano consistía en mantener en la apariencia buenas relaciones con «el déspota», pasar como partidario suyo y minarle el terre"|II|Location 926
hilaba|"e la reacción religiosa que en Vetusta, como en toda España, habían producido los excesos de los libre-pensadores improvisados en tabernas, cafés y congresos, era el Arcipreste el confesor de la nata de la Encimada, porque tenía la manga ancha en ciertas materias; pero ya la moda había cambiado, se <span style=""color: rgb(0, 0, 255);"">hilaba</span> más delgado en asuntos pecaminosos y el Magistral que se iba con pies de plomo era preferido. Sin embargo, unas por costumbre, otras por no dar un desaire a don Cayetano, y algunas por seguir contentas con aquel sistema de la manga ancha, algunas damas continuaban asistiendo al tribunal del l"|II|Location 944
