word|ch-context-styled|chapter|kindle-location
carcajadas|"lamó Infanzón que hacía mucho admiraba de lejos al señor Magistral. La señora del lugareño manifestó deseos de besar la mano del Provisor, pero la mirada del marido la contuvo otra vez, y no hizo más que doblar las rodillas como si fuera a caerse. El Magistral hablaba en voz alta de modo que sus palabras resonaban en las bóvedas y los demás con el ejemplo se arrimaron también a gritar. Pronto las <span style=""color: rgb(0, 0, 255);"">carcajadas</span> de Obdulia Fandiño, frescas, perladas, como las llamaba don Saturno, llenaron el ambiente, profanado ya con el olor mundano de que había infestado la sacristía desde el momento de entrar. Era el olor del billete, el olor del pañuelo, el olor de Obdulia con que el sabio soñaba algunas veces. Mezclado al de la cera y del incienso le sabía a gloria al anticuario, cuyo ideal era juntar así "|I|Location 692
El Magistral le iba a la mano|"s partes, en un gran centro, en Madrid, en París, en Roma; pero en Vetusta no. Confesaba atrocidades en tono confidencial, como podía referírselas en su tocador a alguna amiga de su estofa. Citaba mucho a su amigo el Patriarca y al campechano obispo de Nauplia; proponía rifas católicas, organizaba bailes de caridad, novenas y jubileos a puerta cerrada, para las personas decentes... ¡mil absurdos! <span style=""color: rgb(0, 0, 255);"">El Magistral le iba a la mano</span> siempre que podía, pero no podía siempre. Su autoridad, que era absoluta casi, no conseguía sujetar aquel azogue que se le marchaba por las junturas de los dedos. La doña Obdulita le fatigaba, le mareaba. ¡Y ella que quería seducirle, hacerle suyo como al obispo de Nauplia, aquel prelado tan fino que no se separaba de ella cuando vivieron en el hotel de la Paix, en Ma"|I|Location 709
Era menester que|"as miradas más ardientes, más negras de aquellos ojos negros, grandes y abrasadores eran para De Pas; los adoradores de la viuda lo sabían y le envidiaban. Pero él maldecía de aquel bloqueo.<br><br>—«Necia, ¿si creerá que a mí se me conquista como a don Saturno?».<br><br>A pesar de esta cordial antipatía, siempre estaba afable y cortés con la viuda, porque en este punto no distinguía entre amigos y enemigos. <span style=""color: rgb(0, 0, 255);"">Era menester que</span> una persona estuviese debajo de sus pies, aplastada, para que don Fermín no usase con ella de formas irreprochables. La urbanidad era un dogma para el Magistral lo mismo que para Bermúdez, pero sacaban de ella muy diferente partido.<br><br>Mientras se hablaba de lo mucho bueno que había en la catedral y el lugareño se pasmaba y su señora repetía aquellas admiraciones, Obdulia se miraba "|I|Location 716
flamantes|"l carbonero otro cuadro que alababa don Saturnino.<br><br>Dieron vuelta a toda la sacristía. Cerca de la puerta había algunos cuadros nuevos que eran copias no mal entendidas de pintores célebres. A la Infanzón debieron de agradarle más que las maravillas de Cenceño, sin duda porque se veían mejor. Pero su prudente esposo, considerando que Bermúdez pasaba con afectado desdén delante de aquellos vivos y <span style=""color: rgb(0, 0, 255);"">flamantes</span> colores, dio un codazo a su mujer para que entendiera que por allí se pasaba sin hacer aspavientos. Entre aquellos cuadros había una copia bastante fiel y muy discretamente comprendida del célebre cuadro de Murillo San Juan de Dios, del Hospital de incurables de Sevilla. A la señora de pueblo le llamó la atención la cabeza del santo, que desde que se ve una vez no se olvida.<br><br>—¡Oh, qué h"|I|Location 734
hacer aspavientos.|"a de la puerta había algunos cuadros nuevos que eran copias no mal entendidas de pintores célebres. A la Infanzón debieron de agradarle más que las maravillas de Cenceño, sin duda porque se veían mejor. Pero su prudente esposo, considerando que Bermúdez pasaba con afectado desdén delante de aquellos vivos y flamantes colores, dio un codazo a su mujer para que entendiera que por allí se pasaba sin <span style=""color: rgb(0, 0, 255);"">hacer aspavientos.</span> Entre aquellos cuadros había una copia bastante fiel y muy discretamente comprendida del célebre cuadro de Murillo San Juan de Dios, del Hospital de incurables de Sevilla. A la señora de pueblo le llamó la atención la cabeza del santo, que desde que se ve una vez no se olvida.<br><br>—¡Oh, qué hermoso!—exclamó sin poder contenerse.<br><br>Miró don Saturno con sonrisa de lástima y dijo:<br><br>—Sí"|I|Location 734
pellizco|"de incurables de Sevilla. A la señora de pueblo le llamó la atención la cabeza del santo, que desde que se ve una vez no se olvida.<br><br>—¡Oh, qué hermoso!—exclamó sin poder contenerse.<br><br>Miró don Saturno con sonrisa de lástima y dijo:<br><br>—Sí, es bonito; pero muy conocido.<br><br>Y volvió la espalda a San Juan, que llevaba sobre sus hombros al pordiosero enfermo, entre las tinieblas.<br><br>El señor Infanzón dio un <span style=""color: rgb(0, 0, 255);"">pellizco</span> a su mujer; se puso muy colorado y en voz baja la reprendió de esta suerte:<br><br>—Siempre has de avergonzarme. ¿No ves que eso no tiene... pátina?<br><br>Salieron de la sacristía.—Por aquí—dijo Bermúdez señalando a la derecha; y atravesaron el crucero no sin escándalo de algunas beatas que interrumpieron sus oraciones para descoser y recortar la coraza de fuego de Obdulia. La falda de raso, que no "|I|Location 741
calzón|"—dijo Bermúdez señalando a la derecha; y atravesaron el crucero no sin escándalo de algunas beatas que interrumpieron sus oraciones para descoser y recortar la coraza de fuego de Obdulia. La falda de raso, que no tenía nada de particular mientras no la movían, era lo más subversivo del traje en cuanto la viuda echaba a andar. Ajustábase de tal modo al cuerpo, que lo que era falda parecía apretado <span style=""color: rgb(0, 0, 255);"">calzón</span> ciñendo esculturales formas, que así mostradas, no convenían a la santidad del lugar.<br><br>—Señores, vamos a ver el Panteón de los Reyes—murmuró muy quedo el arqueólogo, que iba ya preparando sendos trocitos de su Vetusta Goda y de su Vetusta Cristiana. Y en honor de la verdad se ha de decir que un rey se le iba y otro se le venía; esto es, que los mezclaba y confundía, siendo la falda de Obdul"|I|Location 746
estrépito|"alares de la Fandiño, en vez de apagar sus fuegos interiores, era alimento de la combustión que deploraba, como si a una hoguera la echasen petróleo....<br><br>Entraron en la capilla del Panteón. Era ancha, obscura, fría, de tosca fábrica, pero de majestuosa e imponente sencillez. El taconeo irrespetuoso de las botas imperiales, color bronce, que enseñaba Obdulia debajo de la falda corta y ajustada; el <span style=""color: rgb(0, 0, 255);"">estrépito</span> de la seda frotando las enaguas; el crujir del almidón de aquellos bajos de nieve y espuma que tal se le antojaban a don Saturno, quien los había visto otras veces; hubieran sido parte a despertar de su sueño de siglos a los reyes allí sepultados, a ser cierto lo que el arqueólogo dijo respecto del descanso eterno de tan respetables señores:<br><br>—Aquí descansan desde la octava centuria los "|I|Location 754
enaguas;|"agar sus fuegos interiores, era alimento de la combustión que deploraba, como si a una hoguera la echasen petróleo....<br><br>Entraron en la capilla del Panteón. Era ancha, obscura, fría, de tosca fábrica, pero de majestuosa e imponente sencillez. El taconeo irrespetuoso de las botas imperiales, color bronce, que enseñaba Obdulia debajo de la falda corta y ajustada; el estrépito de la seda frotando las <span style=""color: rgb(0, 0, 255);"">enaguas;</span> el crujir del almidón de aquellos bajos de nieve y espuma que tal se le antojaban a don Saturno, quien los había visto otras veces; hubieran sido parte a despertar de su sueño de siglos a los reyes allí sepultados, a ser cierto lo que el arqueólogo dijo respecto del descanso eterno de tan respetables señores:<br><br>—Aquí descansan desde la octava centuria los señores reyes don..., y pronunció "|I|Location 755
disimulaba|"tes estaba gastado por el roce continuo de los cánticos canónicos, como la mayor parte de los roquetes, mucetas y capas de que se despojaban para recobrar el manteo. Se notaba en el cabildo de Vetusta lo que es ordinario en muchas corporaciones: algunos señores prebendados no se hablaban; otros no se saludaban siquiera. Pero a un extraño no le era fácil conocer esta falta de armonía: la prudencia <span style=""color: rgb(0, 0, 255);"">disimulaba</span> tales asperezas, y en conjunto reinaba la mayor y más jovial concordia. Había apretones de mano, golpecitos en el hombro, bromitas sempiternas, chistes, risas, secretos al oído. Algunos, taciturnos, se despedían pronto y abandonaban el templo; no faltaba quien saliera sin despedirse.<br><br>Cuando entraba el Magistral, el ilustrísimo señor don Cayetano Ripamilán, aragonés, de Calatayud, apoya"|II|Location 786
asperezas,|"o por el roce continuo de los cánticos canónicos, como la mayor parte de los roquetes, mucetas y capas de que se despojaban para recobrar el manteo. Se notaba en el cabildo de Vetusta lo que es ordinario en muchas corporaciones: algunos señores prebendados no se hablaban; otros no se saludaban siquiera. Pero a un extraño no le era fácil conocer esta falta de armonía: la prudencia disimulaba tales <span style=""color: rgb(0, 0, 255);"">asperezas,</span> y en conjunto reinaba la mayor y más jovial concordia. Había apretones de mano, golpecitos en el hombro, bromitas sempiternas, chistes, risas, secretos al oído. Algunos, taciturnos, se despedían pronto y abandonaban el templo; no faltaba quien saliera sin despedirse.<br><br>Cuando entraba el Magistral, el ilustrísimo señor don Cayetano Ripamilán, aragonés, de Calatayud, apoyaba una mano en el"|II|Location 786
arrugado|" nariz olor de...<br>La presencia del Provisor contuvo al señor Arcipreste, que, cortando la cita, añadió:<br><br>—¿Parece que hemos tenido faldas por aquí, señor De Pas?<br><br>Y sin esperar respuesta hizo picarescas alusiones corteses, pero un poco verdes, a la hermosura esplendorosa de la viudita.<br><br>Era don Cayetano un viejecillo de setenta y seis años, vivaracho, alegre, flaco, seco, de color de cuero viejo, <span style=""color: rgb(0, 0, 255);"">arrugado</span> como un pergamino al fuego, y el conjunto de su personilla recordaba, sin que se supiera a punto fijo por qué, la silueta de un buitre de tamaño natural; aunque, según otros, más se parecía a una urraca, o a un tordo encogido y despeluznado. Tenía sin duda mucho de pájaro en figura y gestos, y más, visto en su sombra. Era anguloso y puntiagudo, usaba sombrero de teja de los antiguos, larg"|II|Location 796
arcipreste,|"oner los brazos en jarras, y si la conversación era de asunto teológico o canónico, extendía la mano derecha y formaba un anteojo con el dedo pulgar y el índice. Como el interlocutor solía ser más alto, para verle la cara Ripamilán torcía la cabeza y miraba con un ojo solo, como también hacen las aves de corral con frecuencia. Aunque era don Cayetano canónigo y tenía nada menos que la dignidad de <span style=""color: rgb(0, 0, 255);"">arcipreste,</span> que le valía el honor de sentarse en el coro a la derecha del Obispo, considerábase él digno de respeto y aun de admiración no por estos vulgares títulos, ni por la cruz que le hacía ilustrísimo, sino por el don inapreciable de poeta bucólico y epigramático. Sus dioses eran Garcilaso y Marcial, su ilustre paisano. También estimaba mucho a Meléndez Valdés y no poco a Inarco Celenio. Hab"|II|Location 804
mundanas:|"cólico y epigramático. Sus dioses eran Garcilaso y Marcial, su ilustre paisano. También estimaba mucho a Meléndez Valdés y no poco a Inarco Celenio. Había venido a Vetusta de beneficiado a los cuarenta años; treinta y seis había asistido al coro de aquella iglesia y podía tenerse por tan vetustense como el primero. Muchos no sabían que era de otra provincia. Además de la poesía tenía dos pasiones <span style=""color: rgb(0, 0, 255);"">mundanas:</span> la mujer y la escopeta. A la última había renunciado; no a la primera, que seguía adorando con el mismo pudibundo y candoroso culto de los treinta años. Ni un solo vetustense, aun contando a los librepensadores que en cierto restaurant comían de carne el Viernes Santo, ni uno solo se hubiera atrevido a dudar de la castidad casi secular de don Cayetano. No era eso. Su culto a la dama no t"|II|Location 808
castidad|" sabían que era de otra provincia. Además de la poesía tenía dos pasiones mundanas: la mujer y la escopeta. A la última había renunciado; no a la primera, que seguía adorando con el mismo pudibundo y candoroso culto de los treinta años. Ni un solo vetustense, aun contando a los librepensadores que en cierto restaurant comían de carne el Viernes Santo, ni uno solo se hubiera atrevido a dudar de la <span style=""color: rgb(0, 0, 255);"">castidad</span> casi secular de don Cayetano. No era eso. Su culto a la dama no tenía que ver nada con las exigencias del sexo. La mujer era el sujeto poético, como él decía, pues se preciaba de hablar como los poetas de mejores siglos y al asunto solía llamarlo sujeto. Sentía desde su juventud, imperiosa necesidad de ser galante con las damas, frecuentar su trato y hacerlas objeto de madrigales tan inoc"|II|Location 811
estragos.|"alerna de fanatismo, y el Arcipreste, que no lo era entonces, sobrenadó con su cargamento de bucólicas inocentadas, bienquisto de todos, menos de conejos y perdices en los montes. Pero ¡cuán lejanos estaban aquellos tiempos! ¿Quién se acordaba ya de Meléndez Valdés, ni de las Églogas y Canciones por un Pastor de Bílbilis, o sea don Cayetano Ripamilán? El romanticismo y el liberalismo habían hecho <span style=""color: rgb(0, 0, 255);"">estragos.</span> Y había pasado el romanticismo, pero el género pastoril no había vuelto, ni los epigramas causaban efecto por maliciosos que fueran. No era don Cayetano uno de tantos canónigos laudatores temporis acti, como decía él; no alababa el tiempo pasado por sistema, pero en punto a poesía era preciso confesar que la revolución no había traído nada bueno.<br><br>—Vivimos en una sociedad hipócrita, tris"|II|Location 820
tresillo|"zón los muchachos y el buen Arcipreste quedaba en sus glorias, logrando con los pies triunfos que ya su pluma no alcanzaba en los tiempos de prosa a que habíamos llegado.<br><br>Esto de los bailes solía acontecer en las tertulias a donde el setentón acudía sin falta, porque desde que los médicos le habían prohibido escribir y hasta leer de noche, no podía pasar sin la sociedad más animada y galante. El <span style=""color: rgb(0, 0, 255);"">tresillo</span> le aburría y los conciliábulos de canónigos y obispos de levita, como él decía siempre, le ponían triste. «No era liberal ni carlista. Era un sacerdote». La juventud le atraía y prefería su trato al de los más sesudos vetustenses. Los poetillas y gacetilleros de la localidad tenían en él un censor socarrón y malicioso, aunque siempre cortés y afable. Encontrábase en la calle, por ejemplo,"|II|Location 835
conciliábulos|"n Arcipreste quedaba en sus glorias, logrando con los pies triunfos que ya su pluma no alcanzaba en los tiempos de prosa a que habíamos llegado.<br><br>Esto de los bailes solía acontecer en las tertulias a donde el setentón acudía sin falta, porque desde que los médicos le habían prohibido escribir y hasta leer de noche, no podía pasar sin la sociedad más animada y galante. El tresillo le aburría y los <span style=""color: rgb(0, 0, 255);"">conciliábulos</span> de canónigos y obispos de levita, como él decía siempre, le ponían triste. «No era liberal ni carlista. Era un sacerdote». La juventud le atraía y prefería su trato al de los más sesudos vetustenses. Los poetillas y gacetilleros de la localidad tenían en él un censor socarrón y malicioso, aunque siempre cortés y afable. Encontrábase en la calle, por ejemplo, con Trifón Cármenes, el p"|II|Location 835
alientos|"s de canónigos y obispos de levita, como él decía siempre, le ponían triste. «No era liberal ni carlista. Era un sacerdote». La juventud le atraía y prefería su trato al de los más sesudos vetustenses. Los poetillas y gacetilleros de la localidad tenían en él un censor socarrón y malicioso, aunque siempre cortés y afable. Encontrábase en la calle, por ejemplo, con Trifón Cármenes, el poeta de más <span style=""color: rgb(0, 0, 255);"">alientos</span> de Vetusta, el eterno vencedor en las justas incruentas, de la gaya ciencia; le llamaba con un dedo, acercaba su corva nariz a la ancha oreja del vate y decíale:<br><br>—He visto aquello.... No está mal; pero no hay que olvidar lo de versate manu. ¡Los clásicos, Trifoncillo, los clásicos sobre todo! ¿Dónde hay sencillez como aquella:<br><br>Yo he visto un pajarillo<br>posarse en un tomillo?<br>Y recitaba l"|II|Location 838
suelta la sin hueso|"as hasta el último verso, con lágrimas en los ojos y agua en los labios. La mayoría del cabildo absolvía de esa falta de formalidad al Arcipreste a condición de que se le tuviera por chocho.<br><br>—Y aun así y todo—decía un canónigo muy buen mozo, nuevo en Vetusta y en el oficio, pariente del ministro de Gracia y Justicia—aun así y todo no se puede llevar en calma la imprudencia con que habla de todo; <span style=""color: rgb(0, 0, 255);"">suelta la sin hueso</span> y juzga precipitadamente, y emplea vocablos y alusiones impropias de una dignidad.<br><br>A este mismo señor canónigo que embozadamente le había reprendido algunas veces por la pimienta de sus epigramas, solía taparle la boca el Arcipreste diciendo:<br><br>—Nada, nada, repito lo que mi paisano y queridísimo poeta Marcial dejó escrito para casos tales, es a saber:<br><br>Lasciva est nobis pagina,"|II|Location 847
